sex,age,h.cent,h.cm,bpC50,bpC90,bpC95,bpC9512,bp
2,7,5,115.9,55,68,72,84,dbp
2,7,10,117.8,55,68,72,84,dbp
2,7,25,121.1,56,69,73,85,dbp
2,7,50,124.9,57,70,73,85,dbp
2,7,75,128.8,58,71,74,86,dbp
2,7,90,132.5,59,72,74,86,dbp
2,7,95,134.7,60,72,75,87,dbp
2,8,5,121,56,69,72,84,dbp
2,8,10,123,56,70,73,85,dbp
2,8,25,126.5,57,71,74,86,dbp
2,8,50,130.6,59,72,74,86,dbp
2,8,75,134.7,60,72,75,87,dbp
2,8,90,138.5,61,73,75,87,dbp
2,8,95,140.9,61,73,75,87,dbp
2,9,5,125.3,57,71,74,86,dbp
2,9,10,127.6,58,71,74,86,dbp
2,9,25,131.3,59,72,75,87,dbp
2,9,50,135.6,60,73,75,87,dbp
2,9,75,140.1,60,73,75,87,dbp
2,9,90,144.1,61,73,75,87,dbp
2,9,95,146.6,61,73,75,87,dbp
2,10,5,129.7,58,72,75,87,dbp
2,10,10,132.2,59,73,75,87,dbp
2,10,25,136.3,59,73,76,88,dbp
2,10,50,141,60,73,76,88,dbp
2,10,75,145.8,61,73,76,88,dbp
2,10,90,150.2,61,73,76,88,dbp
2,10,95,152.8,62,73,76,88,dbp
2,11,5,135.6,60,74,76,88,dbp
2,11,10,138.3,60,74,77,89,dbp
2,11,25,142.8,60,74,77,89,dbp
2,11,50,147.8,61,74,77,89,dbp
2,11,75,152.8,62,74,77,89,dbp
2,11,90,157.3,63,75,77,89,dbp
2,11,95,160,64,75,77,89,dbp
2,12,5,142.8,61,75,78,90,dbp
2,12,10,145.5,61,75,78,90,dbp
2,12,25,149.9,61,75,78,90,dbp
2,12,50,154.8,62,75,78,90,dbp
2,12,75,159.6,64,76,79,91,dbp
2,12,90,163.8,65,76,79,91,dbp
2,12,95,166.4,65,76,79,91,dbp
2,13,5,148.1,62,75,79,91,dbp
2,13,10,150.6,62,75,79,91,dbp
2,13,25,154.7,63,75,79,91,dbp
2,13,50,159.2,64,76,79,91,dbp
2,13,75,163.7,65,76,80,92,dbp
2,13,90,167.8,65,76,80,92,dbp
2,13,95,170.2,66,76,81,93,dbp
2,14,5,150.6,63,76,80,92,dbp
2,14,10,153,63,76,80,92,dbp
2,14,25,156.9,64,76,80,92,dbp
2,14,50,161.3,65,76,80,92,dbp
2,14,75,165.7,66,77,81,93,dbp
2,14,90,169.7,66,77,81,93,dbp
2,14,95,172.1,66,77,82,94,dbp
2,15,5,151.7,64,76,80,92,dbp
2,15,10,154,64,76,80,92,dbp
2,15,25,157.9,64,76,80,92,dbp
2,15,50,162.3,65,77,81,93,dbp
2,15,75,166.7,66,77,82,94,dbp
2,15,90,170.6,67,78,82,94,dbp
2,15,95,173,67,78,82,94,dbp
2,16,5,152.1,64,76,80,92,dbp
2,16,10,154.5,64,76,80,92,dbp
2,16,25,158.4,65,76,80,92,dbp
2,16,50,162.8,66,77,81,93,dbp
2,16,75,167.1,66,78,82,94,dbp
2,16,90,171.1,67,78,82,94,dbp
2,16,95,173.4,67,78,82,94,dbp
2,17,5,152.4,64,76,80,92,dbp
2,17,10,154.7,64,76,80,92,dbp
2,17,25,158.7,65,77,80,92,dbp
2,17,50,163,66,77,81,93,dbp
2,17,75,167.4,66,78,82,94,dbp
2,17,90,171.3,66,78,82,94,dbp
2,17,95,173.7,67,78,82,94,dbp
